dimension,segment,campaign,difference,ci_low,ci_high,p_value,relative_lift,treatment_n,control_n,treatment_purchases,control_purchases,revenue_difference,scope
Prior channel,Multichannel,Men's merchandise,0.010166979815243827,0.0042817881956203376,0.01646709829669644,0.0007918688780337055,1.471952744362523,2577,2606,44,18,1.2091294052619086,Exploratory; unadjusted 95% interval
Prior channel,Multichannel,Women's merchandise,0.0070517614226959175,0.0015044026915859857,0.012930507050521109,0.013534433239804917,1.0209383481969758,2579,2606,36,18,1.1575358651270653,Exploratory; unadjusted 95% interval
Prior channel,Phone,Men's merchandise,0.005461730292865705,0.002901033131991348,0.008119176737570219,3.5565772921747393e-05,1.0188311688311686,9240,9327,100,50,0.5640743919691333,Exploratory; unadjusted 95% interval
Prior channel,Phone,Women's merchandise,0.0017261667942389536,-0.000541829321957375,0.004025929816947848,0.13858023826341162,0.32199915379733435,9454,9327,67,50,0.23247350450950877,Exploratory; unadjusted 95% interval
Prior channel,Web,Men's merchandise,0.007199782528948642,0.0044779554015602924,0.010020606687091973,3.0453575244471437e-07,1.2496955859969558,9490,9373,123,54,0.8504486670398359,Exploratory; unadjusted 95% interval
Prior channel,Web,Women's merchandise,0.0034326986692518498,0.0009645871058347865,0.005963904203734674,0.006574807010730967,0.5958274930906962,9354,9373,86,54,0.4163166914707608,Exploratory; unadjusted 95% interval
Purchase recency,1–3 months,Men's merchandise,0.007326383487528679,0.0037513615198274575,0.010994942908095585,6.97743289547946e-05,0.8133379161229599,7469,7438,122,67,1.047598062490867,Exploratory; unadjusted 95% interval
Purchase recency,1–3 months,Women's merchandise,0.002747478721057293,-0.0005215928964144461,0.006057061995321331,0.10633053538930748,0.30501114518245,7486,7438,88,67,0.3585999956035171,Exploratory; unadjusted 95% interval
Purchase recency,4–6 months,Men's merchandise,0.005030460878328993,0.0014446631022516096,0.00879971677665993,0.007284135268819921,0.9221221748506148,4673,4766,49,26,0.48838743501902304,Exploratory; unadjusted 95% interval
Purchase recency,4–6 months,Women's merchandise,0.0025396421227964865,-0.000787026651055101,0.005967179378551925,0.13422312384665525,0.46553593681723293,4753,4766,38,26,0.6654827359516472,Exploratory; unadjusted 95% interval
Purchase recency,7–12 months,Men's merchandise,0.007288518809016993,0.0049457495165194185,0.009782556196832217,1.2976546164613959e-09,2.2875895930921613,9165,9102,96,29,0.6857704463075507,Exploratory; unadjusted 95% interval
Purchase recency,7–12 months,Women's merchandise,0.0037006382602381197,0.0016584229927235593,0.005844858028786648,0.0004947991899425227,1.1614899808512886,9148,9102,63,29,0.35214293081461184,Exploratory; unadjusted 95% interval
Newbie flag,Newbie = 0,Men's merchandise,0.006206828142725938,0.0034356693135454835,0.00904533745457752,1.4449428118449168e-05,0.8031787002739625,10621,10611,148,82,0.5779669050857943,Exploratory; unadjusted 95% interval
Newbie flag,Newbie = 0,Women's merchandise,0.0009318089434356032,-0.0015120874793225873,0.003388731729489369,0.49340429316380363,0.12057834998530725,10624,10611,92,82,0.11395712053756446,Exploratory; unadjusted 95% interval
Newbie flag,Newbie = 1,Men's merchandise,0.007396000429446033,0.005129785018370676,0.00978450075640442,1.4853397351189456e-10,1.9775056148231331,10686,10695,119,40,0.9600198419292101,Exploratory; unadjusted 95% interval
Newbie flag,Newbie = 1,Women's merchandise,0.00527229169834824,0.0031656633696004366,0.007476967679456921,1.149154220188829e-06,1.4096789928458606,10763,10695,97,40,0.7322877956561398,Exploratory; unadjusted 95% interval
