dimension,segment,campaign,customers,purchasers,visitors,total_revenue,conversion_rate,revenue_per_customer
Newbie flag,Newbie = 0,Men's merchandise,10621,148.0,2247.0,16072.939999999986,0.013934657753507202,1.513317013463891
Newbie flag,Newbie = 0,No email,10611,82.0,1419.0,9924.999999999998,0.007727829610781264,0.9353501083780981
Newbie flag,Newbie = 0,Women's merchandise,10624,92.0,1847.0,11147.839999999998,0.008659638554216868,1.0493072289156624
Newbie flag,Newbie = 1,Men's merchandise,10686,119.0,1647.0,14238.749999999998,0.011136065880591428,1.3324677147669848
Newbie flag,Newbie = 1,No email,10695,40.0,843.0,3983.3299999999995,0.0037400654511453952,0.3724478728377746
Newbie flag,Newbie = 1,Women's merchandise,10763,97.0,1391.0,11890.269999999999,0.009012357149493635,1.1047356684939142
Prior channel,Multichannel,Men's merchandise,2577,44.0,545.0,4702.689999999999,0.017074117190531625,1.8248700038804806
Prior channel,Multichannel,No email,2606,18.0,335.0,1604.62,0.006907137375287797,0.6157405986185724
Prior channel,Multichannel,Women's merchandise,2579,36.0,453.0,4573.279999999999,0.013958898797983715,1.7732764637456373
Prior channel,Phone,Men's merchandise,9240,100.0,1504.0,11166.79,0.010822510822510822,1.2085270562770565
Prior channel,Phone,No email,9327,50.0,813.0,6010.809999999998,0.005360780529645117,0.644452664307923
Prior channel,Phone,Women's merchandise,9454,67.0,1246.0,8290.46,0.00708694732388407,0.8769261688174317
Prior channel,Web,Men's merchandise,9490,123.0,1845.0,14442.209999999988,0.012961011591148578,1.521834562697575
Prior channel,Web,No email,9373,54.0,1114.0,6292.899999999999,0.005761229062199936,0.6713858956577402
Prior channel,Web,Women's merchandise,9354,86.0,1539.0,10174.369999999999,0.009193927731451786,1.087702587128501
Purchase recency,1–3 months,Men's merchandise,7469,122.0,1664.0,14871.889999999994,0.01633418128263489,1.9911487481590566
Purchase recency,1–3 months,No email,7438,67.0,1025.0,7018.129999999997,0.009007797795106211,0.94355068566819
Purchase recency,1–3 months,Women's merchandise,7486,88.0,1361.0,9747.899999999998,0.011755276516163505,1.302150681271707
Purchase recency,4–6 months,Men's merchandise,4673,49.0,847.0,4708.4,0.010485769313075112,1.0075754333404665
Purchase recency,4–6 months,No email,4766,26.0,504.0,2474.45,0.005455308434746118,0.5191879983214435
Purchase recency,4–6 months,Women's merchandise,4753,38.0,695.0,5630.739999999997,0.007994950557542605,1.18467073427309
Purchase recency,7–12 months,Men's merchandise,9165,96.0,1383.0,10731.399999999994,0.010474631751227497,1.1709110747408613
Purchase recency,7–12 months,No email,9102,29.0,733.0,4415.749999999999,0.0031861129422105033,0.48514062843331124
Purchase recency,7–12 months,Women's merchandise,9148,63.0,1182.0,7659.469999999998,0.006886751202448623,0.8372835592479229
