campaign,prior_channel,recency_band,newbie,customers,purchasers,visitors,total_revenue
Men's merchandise,Multichannel,1–3 months,0,437,11.0,108.0,1136.32
Men's merchandise,Multichannel,1–3 months,1,764,11.0,169.0,1195.08
Men's merchandise,Multichannel,4–6 months,0,236,4.0,62.0,617.54
Men's merchandise,Multichannel,4–6 months,1,328,5.0,66.0,413.48
Men's merchandise,Multichannel,7–12 months,0,385,9.0,81.0,720.96
Men's merchandise,Multichannel,7–12 months,1,427,4.0,59.0,619.31
Men's merchandise,Phone,1–3 months,0,1467,24.0,335.0,2712.74
Men's merchandise,Phone,1–3 months,1,1667,26.0,314.0,3093.8
Men's merchandise,Phone,4–6 months,0,1079,10.0,188.0,914.3
Men's merchandise,Phone,4–6 months,1,955,3.0,126.0,236.52
Men's merchandise,Phone,7–12 months,0,2131,20.0,372.0,1927.84
Men's merchandise,Phone,7–12 months,1,1941,17.0,169.0,2281.59
Men's merchandise,Web,1–3 months,0,1564,30.0,414.0,4221.14
Men's merchandise,Web,1–3 months,1,1570,20.0,324.0,2512.81
Men's merchandise,Web,4–6 months,0,1098,16.0,252.0,1150.59
Men's merchandise,Web,4–6 months,1,977,11.0,153.0,1375.97
Men's merchandise,Web,7–12 months,0,2224,24.0,435.0,2671.51
Men's merchandise,Web,7–12 months,1,2057,22.0,267.0,2510.19
No email,Multichannel,1–3 months,0,420,8.0,74.0,744.1
No email,Multichannel,1–3 months,1,796,6.0,113.0,339.08
No email,Multichannel,4–6 months,0,227,1.0,41.0,328.36
No email,Multichannel,4–6 months,1,358,2.0,32.0,159.06
No email,Multichannel,7–12 months,0,415,0.0,47.0,0.0
No email,Multichannel,7–12 months,1,390,1.0,28.0,34.02
No email,Phone,1–3 months,0,1497,15.0,213.0,1848.23
No email,Phone,1–3 months,1,1628,9.0,150.0,1314.82
No email,Phone,4–6 months,0,1064,7.0,138.0,476.35
No email,Phone,4–6 months,1,993,4.0,53.0,360.45
No email,Phone,7–12 months,0,2137,14.0,199.0,1980.97
No email,Phone,7–12 months,1,2008,1.0,60.0,29.99
No email,Web,1–3 months,0,1516,21.0,282.0,2068.25
No email,Web,1–3 months,1,1581,8.0,193.0,703.65
No email,Web,4–6 months,0,1096,6.0,151.0,769.23
No email,Web,4–6 months,1,1028,6.0,89.0,381.0
No email,Web,7–12 months,0,2239,10.0,274.0,1709.51
No email,Web,7–12 months,1,1913,3.0,125.0,661.26
Women's merchandise,Multichannel,1–3 months,0,410,7.0,82.0,822.59
Women's merchandise,Multichannel,1–3 months,1,814,15.0,166.0,1850.36
Women's merchandise,Multichannel,4–6 months,0,237,1.0,37.0,29.99
Women's merchandise,Multichannel,4–6 months,1,343,4.0,51.0,678.26
Women's merchandise,Multichannel,7–12 months,0,371,6.0,69.0,965.45
Women's merchandise,Multichannel,7–12 months,1,404,3.0,48.0,226.63
Women's merchandise,Phone,1–3 months,0,1528,13.0,270.0,1734.09
Women's merchandise,Phone,1–3 months,1,1621,19.0,230.0,2042.52
Women's merchandise,Phone,4–6 months,0,1100,9.0,179.0,1324.16
Women's merchandise,Phone,4–6 months,1,965,3.0,94.0,365.49
Women's merchandise,Phone,7–12 months,0,2195,12.0,301.0,1268.82
Women's merchandise,Phone,7–12 months,1,2045,11.0,172.0,1555.38
Women's merchandise,Web,1–3 months,0,1518,15.0,344.0,1027.62
Women's merchandise,Web,1–3 months,1,1595,19.0,269.0,2270.72
Women's merchandise,Web,4–6 months,0,1057,11.0,180.0,2209.78
Women's merchandise,Web,4–6 months,1,1051,10.0,154.0,1023.06
Women's merchandise,Web,7–12 months,0,2208,18.0,385.0,1765.34
Women's merchandise,Web,7–12 months,1,1925,13.0,207.0,1877.85
